iter	Passed	Remaining
1246	883901	6204324
1247	884713	6204333
1248	885447	6203807
1249	886292	6204046
1250	887127	6204219
1251	887916	6204066
1252	888730	6204093
1253	889539	6204075
1254	890342	6204019
1255	891260	6204765
1256	892092	6204904
1257	892547	6202422
1258	892848	6198877
1259	893171	6195488
1260	893476	6191985
1261	893836	6188858
1262	894164	6185524
1263	894508	6182301
1264	894842	6179010
1265	895154	6175579
1266	895472	6172187
1267	895750	6168528
1268	896031	6164895
1269	896370	6161662
1270	896664	6158130
1271	896942	6154492
1272	897260	6151130
1273	897561	6147660
1274	897863	6144206
1275	898193	6140943
1276	898478	6137375
1277	898793	6134019
1278	899104	6130643
1279	899419	6127296
1280	899717	6123839
1281	900043	6120579
1282	900373	6117347
1283	900701	6114104
1284	901026	6110851
1285	901354	6107624
1286	901680	6104384
1287	901951	6100779
1288	902276	6097542
1289	902579	6094159
1290	902907	6090952
1291	903252	6087866
1292	903579	6084661
1293	903839	6081009
1294	904183	6077931
1295	904440	6074267
1296	904759	6071027
1297	905070	6067740
1298	905433	6064799
1299	905771	6061702
1300	906060	6058278
1301	906396	6055171
1302	906723	6052014
1303	907060	6048925
1304	907365	6045628
1305	907670	6042335
1306	907972	6039025
1307	908347	6036207
1308	908656	6032953
1309	908958	6029658
1310	909260	6026363
1311	909543	6022949
1312	909860	6019769
1313	910201	6016747
1314	910528	6013642
1315	910834	6010399
1316	911167	6007343
1317	911498	6004268
1318	911799	6001011
1319	912088	5997670
1320	912457	5994863
1321	912737	5991476
1322	913048	5988300
1323	913391	5985336
1324	913727	5982330
1325	914024	5979071
1326	914372	5976150
1327	914703	5973123
1328	915022	5970025
1329	915366	5967088
1330	915670	5963895
1331	916015	5960980
1332	916349	5957989
1333	916683	5955005
1334	916997	5951896
1335	917310	5948784
1336	917663	5945937
1337	918007	5943035
1338	918306	5939845
1339	918643	5936903
1340	918912	5933532
1341	919231	5930483
1342	919550	5927437
1343	919891	5924539
1344	920201	5921448
1345	920520	5918415
1346	920840	5915393
1347	921162	5912389
1348	921454	5909195
1349	921789	5906281
1350	922160	5903598
1351	922458	5900456
1352	922774	5897434
1353	923071	5894297
1354	923377	5891216
1355	923680	5888120
1356	923970	5884952
1357	924326	5882201
1358	924657	5879295
1359	924966	5876260
1360	925277	5873233
1361	925598	5870278
1362	925905	5867239
1363	926262	5864521
1364	926549	5861362
1365	926861	5858362
1366	927215	5855634
1367	927609	5853163
1368	927939	5850287
1369	928330	5847803
1370	928687	5845108
1371	929057	5842501
1372	929368	5839520
1373	929916	5838033
1374	930856	5839008
1375	931717	5839485
1376	932606	5840132
1377	933428	5840360
1378	934211	5840345
1379	935039	5840606
1380	935909	5841134
1381	936665	5840945
1382	937517	5841347
1383	938289	5841256
1384	939067	5841202
1385	939823	5841010
1386	940543	5840593
1387	941284	5840306
1388	942023	5840000
1389	942779	5839809
1390	943601	5840017
1391	944404	5840112
1392	945197	5840139
1393	946016	5840330
1394	946777	5840159
1395	947545	5840026
1396	948305	5839853
1397	949036	5839491
1398	949834	5839545
1399	950576	5839256
1400	951296	5838830
1401	952206	5839568
1402	953198	5840801
1403	953940	5840508
1404	954673	5840156
1405	955401	5839775
1406	956159	5839572
1407	956902	5839279
1408	957664	5839099
1409	958423	5838909
1410	959170	5838633
1411	959895	5838228
1412	960593	5837659
1413	961359	5837502
1414	962102	5837208
1415	962851	5836944
1416	963787	5837816
1417	964689	5838478
1418	965464	5838370
1419	966252	5838340
1420	967039	5838306
1421	967895	5838681
1422	968626	5838303
1423	969411	5838253
1424	970195	5838196
1425	971009	5838312
1426	971814	5838380
1427	972662	5838701
1428	973513	5839039
1429	974352	5839304
1430	975147	5839298
1431	975887	5838969
1432	976651	5838779
1433	977379	5838378
1434	978136	5838148
1435	978914	5838037
1436	979638	5837609
1437	980406	5837443
1438	981257	5837768
1439	982145	5838306
1440	982896	5838039
1441	983652	5837791
1442	984476	5837954
1443	985208	5837563
1444	985959	5837290
1445	986725	5837102
1446	987505	5836997
1447	988410	5837631
1448	989242	5837829
1449	990070	5837999
1450	990936	5838398
1451	991718	5838301
1452	992582	5838679
1453	993499	5839373
1454	994328	5839545
1455	995166	5839770
1456	996049	5840255
1457	996924	5840689
1458	997837	5841350
1459	998640	5841365
1460	999485	5841618
1461	1000297	5841679
1462	1001203	5842294
1463	1002028	5842428
1464	1002846	5842520
1465	1003675	5842679
1466	1004471	5842641
1467	1005321	5842918
1468	1006248	5843641
1469	1007032	5843529
1470	1007842	5843565
1471	1008676	5843745
1472	1009479	5843739
1473	1010381	5844312
1474	1011198	5844384
1475	1012042	5844614
1476	1012846	5844612
1477	1013606	5844351
1478	1014418	5844392
1479	1015213	5844335
1480	1016004	5844257
1481	1016808	5844245
1482	1017597	5844151
1483	1018429	5844305
1484	1019351	5844971
1485	1020129	5844804
1486	1020974	5845027
1487	1021769	5844959
1488	1022574	5844953
1489	1023383	5844963
1490	1024261	5845368
1491	1025069	5845371
